ชื่อ,เบอร์โทร,ที่อยู่,โปรก่อนหน้า,วันที่สั่งซื้อ,ได้รับสินค้า,สถานะ,มอบหมาย,หัวหน้า,หัวข้อโทร,วันที่โทร,หมายเหตุ,ความสัมพันธ์ลูกค้า,ครั้งถัดไป,โปรสินค้า,ชื่อเล่น
"จันทร์เพ็ญ สว่างวงษ์",0899887766,"15 ม.3 บ.เล่า ต.โนนทอง จ.ชัยภูมิ 36120","หลงเลย 1แถม1(190)","","รอส่ง","ยังไม่ได้โทร","","","","","",0,"",0,"เพ็ญ"
"ปราณี จันทร์แดง",0955544332,"2 ม.1 ต.ลำสมพุง จ.สระบุรี 18180","หลงเลย 1แถม1(190)","2026-03-12","ได้รับแล้ว","รับสาย","อร","","ดูแลหลังการขาย","2026-03-26","ติดตามผล ใช้ดี",3,"2026-04-12",0,"ณี"
"บุญเลิศ แสงอรุณ",0622334455,"99/7 ม.8 ต.ศิลา จ.ขอนแก่น 40000","หลงเลย 1แถม1(190)","","รอส่ง","ไม่สะดวกคุย","จิ้บ","","10-15วัน","2026-03-23","กำลังคิดอยู่",1,"2026-04-08",0,"เลิศ"
"นภา ดาวเรือง",0834455667,"44 ม.2 ต.หนองหาน จ.อุดรธานี 41130","หลงเลย 1แถม1(190)","","รอส่ง","จอง","หมวย","","","","จองแล้ว รอชำระ",2,"2026-04-02",399,"นภา"
"สมศักดิ์ ทรงพล",0946677889,"21/9 ถ.สุรนารี ต.ในเมือง จ.นครราชสีมา 30000","หลงเลย 1แถม1(190)","2026-03-25","ได้รับแล้ว","รับสาย","อุ้ยอ้าย","","10-15วัน","2026-03-27","ได้รับสินค้าแล้ว",4,"2026-04-18",0,"ศักดิ์"
"อรุณ แสงทอง",0815566778,"88 ม.5 ต.กุดน้ำใส จ.ขอนแก่น 40310","หลงเลย 1แถม1(190)","","รอส่ง","ยังไม่ได้โทร","","","","","",0,"",0,"รุณ"
"ลำดวน พิมพ์ทอง",0877788990,"36 ม.4 ต.ท่าตูม จ.สุรินทร์ 32120","หลงเลย 1แถม1(190)","2026-03-08","ได้รับแล้ว","ไม่รับสาย","โอ่","","ดูแลหลังการขาย","2026-03-20","ติดต่อไม่ได้",0,"2026-04-06",0,"ดวน"
"ทองใส บุญมาก",0968899001,"5/1 ม.9 ต.ปราสาท จ.สุรินทร์ 32140","หลงเลย 1แถม1(190)","","รอส่ง","Vvip","อร","","10-15วัน","2026-03-19","ลูกค้าประจำ",5,"2026-04-25",599,"ใส"
"เพ็ญศรี วงษ์สุวรรณ",0643344556,"77 ม.3 ต.สังขะ จ.สุรินทร์ 32150","หลงเลย 1แถม1(190)","","รอส่ง","ไม่สะดวกคุย","จิ้บ","","","","ยุ่งอยู่ โทรทีหลัง",1,"2026-04-09",0,"ศรี"
"ประเสริฐ ชัยชนะ",0856655443,"19 ม.6 ต.รัตนบุรี จ.สุรินทร์ 32130","หลงเลย 1แถม1(190)","2026-03-19","ได้รับแล้ว","จอง","หมวย","","10-15วัน","2026-03-21","จองเพิ่ม รอโอน",3,"2026-04-14",399,"เสริฐ"
