ชื่อ,เบอร์โทร,ที่อยู่,โปรก่อนหน้า,วันที่สั่งซื้อ,ได้รับสินค้า,สถานะ,หัวข้อโทร,วันที่โทร,หมายเหตุ,ความสัมพันธ์ลูกค้า,ครั้งถัดไป,โปรสินค้า,มอบหมาย,ชื่อเล่น
"จันทร์เพ็ญ สว่างวงษ์",0899887766,"15 ม.3 บ.เล่า ต.โนนทอง จ.ชัยภูมิ 36120","หลงเลย 1แถม1(190)","","รอส่ง","ยังไม่ได้โทร","","","",0,"",0,"","เพ็ญ"
"ปราณี จันทร์แดง",0955544332,"2 ม.1 ต.ลำสมพุง อ.มวกเหล็ก จ.สระบุรี 18180","หลงเลย 1แถม1(190)","2026-03-12","ได้รับแล้ว","รับสาย","ดูแลหลังการขาย","2026-03-26","ติดตามผล ใช้ดี",3,"2026-04-12",0,"อร","ณี"
"บุญเลิศ แสงอรุณ",0622334455,"99/7 ม.8 ต.ศิลา อ.เมือง จ.ขอนแก่น 40000","หลงเลย 1แถม1(190)","","รอส่ง","ไม่สะดวกคุย","10-15วัน","2026-03-23","กำลังคิดอยู่",1,"2026-04-08",0,"จิ้บ","เลิศ"
"นภา ดาวเรือง",0834455667,"44 ม.2 ต.หนองหาน จ.อุดรธานี 41130","หลงเลย 1แถม1(190)","","รอส่ง","จอง","","","จองแล้ว รอชำระ",2,"2026-04-02",399,"หมวย","นภา"
"สมศักดิ์ ทรงพล",0946677889,"21/9 ถ.สุรนารี ต.ในเมือง จ.นครราชสีมา 30000","หลงเลย 1แถม1(190)","2026-03-25","ได้รับแล้ว","รับสาย","10-15วัน","2026-03-27","ได้รับสินค้าแล้ว",4,"2026-04-18",0,"อุ้ยอ้าย","ศักดิ์"
"อรุณ แสงทอง",0815566778,"88 ม.5 ต.กุดน้ำใส อ.น้ำพอง จ.ขอนแก่น 40310","หลงเลย 1แถม1(190)","","รอส่ง","ยังไม่ได้โทร","","","",0,"",0,"","รุณ"
"ลำดวน พิมพ์ทอง",0877788990,"36 ม.4 ต.ท่าตูม จ.สุรินทร์ 32120","หลงเลย 1แถม1(190)","2026-03-08","ได้รับแล้ว","ไม่รับสาย","ดูแลหลังการขาย","2026-03-20","ติดต่อไม่ได้",0,"2026-04-06",0,"โอ่","ดวน"
"ทองใส บุญมาก",0968899001,"5/1 ม.9 ต.ปราสาท จ.สุรินทร์ 32140","หลงเลย 1แถม1(190)","","รอส่ง","Vvip","10-15วัน","2026-03-19","ลูกค้าประจำ",5,"2026-04-25",599,"อร","ใส"
"เพ็ญศรี วงษ์สุวรรณ",0643344556,"77 ม.3 ต.สังขะ จ.สุรินทร์ 32150","หลงเลย 1แถม1(190)","","รอส่ง","ไม่สะดวกคุย","","","ยุ่งอยู่ โทรทีหลัง",1,"2026-04-09",0,"จิ้บ","ศรี"
"ประเสริฐ ชัยชนะ",0856655443,"19 ม.6 ต.รัตนบุรี จ.สุรินทร์ 32130","หลงเลย 1แถม1(190)","2026-03-19","ได้รับแล้ว","จอง","10-15วัน","2026-03-21","จองเพิ่ม รอโอน",3,"2026-04-14",399,"หมวย","เสริฐ"
